fold_id,n_train,n_test,n_test_blocks,n_positive_test,n_negative_test,test_block_ids,accuracy,f1,r2,mae,roc_auc,pr_auc
0,92,49,1,36,13,872a1072cffffff,0.7551020408163265,0.8421052631578947,-0.36219254610117213,0.4017286559670059,0.5876068376068376,0.7610706921744149
1,116,25,1,16,9,872a1072dffffff,0.84,0.8823529411764706,-0.03677074287202875,0.3695088287332717,0.8958333333333334,0.9346767906800801
2,119,22,1,13,9,872a10728ffffff,0.7727272727272727,0.8387096774193549,-0.047924384935327025,0.3650609014216362,0.7521367521367521,0.8326938584291523
3,120,21,2,16,5,"872a100d2ffffff,872a1072effffff",0.7142857142857143,0.7857142857142857,0.1826858269584144,0.30108004760372953,0.85,0.9277363006682859
4,117,24,2,17,7,"872a100d3ffffff,872a10721ffffff",0.9583333333333334,0.9696969696969697,0.6590438672755518,0.19440965690946377,1.0,1.0
