held_out_block,n_test,n_positive_test,accuracy,f1,roc_auc,pr_auc
872a10088ffffff,28,12,0.7857142857142857,0.7692307692307693,0.8958333333333334,0.8484397546897546
872a10089ffffff,49,29,0.7551020408163265,0.8064516129032258,0.8103448275862069,0.8157499336916658
872a1008affffff,35,0,1.0,0.0,,
872a1008bffffff,49,21,0.8571428571428571,0.8372093023255814,0.9030612244897961,0.8175403276538467
872a1008dffffff,20,11,0.7,0.7692307692307693,0.8383838383838383,0.865181031090122
872a10099ffffff,11,0,1.0,0.0,,
872a100d0ffffff,49,23,0.8979591836734694,0.8979591836734694,0.8545150501672241,0.7810428479355858
872a100d1ffffff,28,22,0.7857142857142857,0.88,0.643939393939394,0.882887891836392
872a100d2ffffff,49,46,0.9183673469387755,0.9574468085106383,0.5289855072463768,0.9576191976387803
872a100d3ffffff,49,27,0.7551020408163265,0.7777777777777778,0.8821548821548821,0.915795775511156
872a100d4ffffff,31,16,0.7741935483870968,0.7878787878787878,0.8083333333333333,0.8179594710844712
872a100d5ffffff,4,4,1.0,1.0,,
872a100d6ffffff,49,42,0.8367346938775511,0.9047619047619048,0.7721088435374149,0.9450776897043646
872a100d8ffffff,23,19,0.8260869565217391,0.9047619047619048,0.9210526315789473,0.9853041695146953
872a100daffffff,42,24,0.5476190476190477,0.6779661016949152,0.5833333333333334,0.6475943623983006
872a100dcffffff,1,1,1.0,1.0,,
872a100deffffff,49,36,0.7346938775510204,0.8433734939759037,0.6047008547008547,0.7954845036734265
872a100f2ffffff,4,2,1.0,1.0,1.0,1.0
872a10720ffffff,18,0,1.0,0.0,,
872a10721ffffff,45,12,0.9333333333333333,0.8571428571428571,0.9974747474747475,0.9935897435897436
872a10724ffffff,45,0,1.0,0.0,,
872a10725ffffff,49,23,0.7959183673469388,0.7727272727272727,0.9247491638795986,0.8954101599888966
872a10728ffffff,48,13,0.8541666666666666,0.7407407407407407,0.9010989010989012,0.6494833723340511
872a10729ffffff,42,20,0.7380952380952381,0.7555555555555555,0.8886363636363637,0.90762400530504
872a1072bffffff,19,0,0.8947368421052632,0.0,,
872a1072cffffff,49,36,0.7551020408163265,0.85,0.6004273504273504,0.8084383970858755
872a1072dffffff,49,22,0.6530612244897959,0.7017543859649122,0.7222222222222222,0.6445333358862376
872a1072effffff,22,0,1.0,0.0,,
