pilot,target,n_cells,n_blocks,feature_drop,n_positive,prevalence,roc_auc_pooled,roc_auc_mean,roc_auc_std,pr_auc_pooled,accuracy_mean,accuracy_std,f1_mean,note
lower_manhattan,dep_only,262,12,,74,0.2824427480916031,0.802041403105233,0.7886272602161459,0.13179366667563822,0.60389454147398,0.7941660263524859,0.05162289138697068,0.4955722744688262,
lower_manhattan,complaint_only,262,12,,144,0.549618320610687,0.8463394538606404,0.8144292751213547,0.08726314783340636,0.8418251824124174,0.7669469819858277,0.05092003752094138,0.7700494087343401,
lower_manhattan,hwm_only,262,12,,0,0.0,,,,,,,,single-class target (not fitted)
lower_manhattan,complaint_hwm,262,12,,144,0.549618320610687,0.8463394538606404,0.8144292751213547,0.08726314783340636,0.8418251824124174,0.7669469819858277,0.05092003752094138,0.7700494087343401,
lower_manhattan,composite,262,12,,167,0.6374045801526718,0.8479672234478411,0.8205489325647799,0.09513139522977142,0.8545950410046028,0.8202154301488374,0.05685822000119965,0.8575558607370872,
lower_manhattan,composite_no_diststream,262,12,dist_stream_m,167,0.6374045801526718,0.8519697447210841,0.8302636702398623,0.09743145544633501,0.8523952503934069,0.8164418452431772,0.05142907181502639,0.8553651390876027,
manhattan_expanded,dep_only,956,28,,231,0.24163179916317992,0.8107538438572922,0.8147790256664289,0.04353300937815583,0.5281482367652964,0.7730747561739985,0.03216784835050159,0.45484935437589674,
manhattan_expanded,complaint_only,956,28,,373,0.3901673640167364,0.8435935049825485,0.8448507394318631,0.04246875026108761,0.6801274230582829,0.7700811682517201,0.04779845755606166,0.7180835614576201,
manhattan_expanded,hwm_only,956,28,,6,0.006276150627615063,0.23307017543859648,0.48439903936357837,0.2140054823536849,0.005100358734733841,0.9790133310108409,0.016671307290487367,0.0,
manhattan_expanded,complaint_hwm,956,28,,375,0.3922594142259414,0.838136546184739,0.8387844051995803,0.04171714507726505,0.6690436505689997,0.7690557498104648,0.05464902643413963,0.7177016480005889,
manhattan_expanded,composite,956,28,,458,0.4790794979079498,0.8821267603163748,0.8814112745250906,0.03355357070766684,0.8227259317526048,0.8233542690788225,0.02772852923416986,0.8257028376391744,
manhattan_expanded,composite_no_diststream,956,28,dist_stream_m,458,0.4790794979079498,0.8819842689535434,0.8804751636409678,0.03674145568439906,0.8282142196290849,0.817152843316005,0.04444937271450539,0.8201391900734916,
