fine_res,coarse_res,aggregation,hotspot_budget,budget_match_mode,tie_method,study_domain_mask,study_domain_modelling_res,n_fine,n_coarse,nominal_cell_k,fine_hotspot_area_m2,coarse_hotspot_area_m2,target_area_m2,area_budget_rel_err_fine,area_budget_rel_err_coarse,n_hotspot_fine,n_hotspot_fine_parents,n_hotspot_coarse,fine_hotspot_threshold,coarse_hotspot_threshold,jaccard,jaccard_soft,jaccard_hard_median,jaccard_hard_ci_low,jaccard_hard_ci_high,jaccard_hard_n_boot,area_weighted_overlap,spearman_rank_corr,continuous_mae,continuous_rmse,f1,fine_parent_recall,coarse_precision,matched_budgets_cell_count,primary_metric,note
10,8,mean,0.1,strict_area_budget,fractional_membership_area,True,9,1788,48,179,2703759.9947433756,2703759.994743376,2703759.994743376,1.7222730131856134e-16,0.0,275,38,4,1.0,0.3061174447607706,0.1363670769098319,0.1363670769098319,0.0,0.0,0.0,1000,0.1363670769098319,0.9999999999999999,0.0,0.0,0.24000532870181407,0.2400053287018141,0.24000532870181404,False,area_weighted_soft_jaccard,
10,8,max,0.1,strict_area_budget,fractional_membership_area,True,9,1788,48,179,2703759.9947433756,2703759.994743376,2703759.994743376,1.7222730131856134e-16,0.0,275,38,38,1.0,1.0,0.5787045629204501,0.5787045629204501,0.0,0.0,0.0,1000,0.5787045629204501,0.7067387838776336,0.6557122718315324,0.7424815529707346,0.7331385194072071,0.7331385194072071,0.7331385194072069,False,area_weighted_soft_jaccard,"max aggregation Jaccard near 1.0 can be structural (parent collapse under max), not a preferred strategy"
10,8,p90,0.1,strict_area_budget,fractional_membership_area,True,9,1788,48,179,2703759.9947433756,2703759.994743376,2703759.994743376,1.7222730131856134e-16,0.0,275,38,23,1.0,1.0,0.6819199988748378,0.6819199988748378,0.0,0.0,0.0,1000,0.6819199988748378,0.9100026103742975,0.397657497975275,0.5391747369715397,0.8108827998133388,0.8108827998133388,0.8108827998133386,False,area_weighted_soft_jaccard,
10,9,mean,0.1,strict_area_budget,fractional_membership_area,True,9,1788,262,179,2703759.9947433756,2703759.994743376,2703759.994743376,1.7222730131856134e-16,0.0,275,140,26,1.0,0.4285725857689124,0.2195136764903634,0.2195136764903634,0.15384615384615385,0.038461538461538464,0.2692307692307692,1000,0.2195136764903634,0.9999999999999998,0.0,0.0,0.3600019921418208,0.36000199214182066,0.360001992141821,False,area_weighted_soft_jaccard,
10,9,max,0.1,strict_area_budget,fractional_membership_area,True,9,1788,262,179,2703759.9947433756,2703759.9947433765,2703759.994743376,1.7222730131856134e-16,1.7222730131856134e-16,275,140,140,1.0,1.0,0.6479446116146862,0.6479446116146862,0.03225806451612903,0.0,0.07692307692307693,1000,0.6479446116146862,0.915922635250265,0.3880170011842487,0.533387779412875,0.7863669774432752,0.7863669774432749,0.7863669774432755,False,area_weighted_soft_jaccard,"max aggregation Jaccard near 1.0 can be structural (parent collapse under max), not a preferred strategy"
10,9,p90,0.1,strict_area_budget,fractional_membership_area,True,9,1788,262,179,2703759.9947433756,2703759.994743376,2703759.994743376,1.7222730131856134e-16,0.0,275,140,79,1.0,1.0,0.5732473674070717,0.5732473674070717,0.03571428571428571,0.0,0.11583333333333293,1000,0.5732473674070717,0.9832057582859002,0.2512071460520378,0.36620820789299835,0.7287440987133035,0.7287440987133031,0.7287440987133036,False,area_weighted_soft_jaccard,
