fold_id,n_test,n_positive,n_negative,positive_prevalence,always_positive_acc,always_positive_f1,always_negative_acc,always_negative_f1,model_acc,model_f1
0,53,36,17,0.6792452830188679,0.6792452830188679,0.8089887640449438,0.32075471698113206,0.0,0.7547169811320755,0.8354430379746836
1,53,47,6,0.8867924528301887,0.8867924528301887,0.9400000000000001,0.11320754716981132,0.0,0.9056603773584906,0.9484536082474226
2,51,28,23,0.5490196078431373,0.5490196078431373,0.7088607594936709,0.45098039215686275,0.0,0.7843137254901961,0.8070175438596491
3,53,25,28,0.4716981132075472,0.4716981132075472,0.641025641025641,0.5283018867924528,0.0,0.8679245283018868,0.8771929824561403
4,52,31,21,0.5961538461538461,0.5961538461538461,0.7469879518072289,0.40384615384615385,0.0,0.8076923076923077,0.8387096774193549
