fine_res,coarse_res,aggregation,hotspot_budget,budget_match_mode,tie_method,n_fine,n_coarse,k_fine,k_coarse,fine_hotspot_area_m2,target_parent_area_m2,n_hotspot_fine,n_hotspot_fine_parents,n_hotspot_coarse,fine_hotspot_threshold,coarse_hotspot_threshold,jaccard,jaccard_soft,area_weighted_overlap,spearman_rank_corr,f1,fine_parent_recall,coarse_precision,matched_budgets_cell_count
10,8,mean,0.05,projected_parent_area,fractional_membership,1857,52,93,2,1406402.6226257612,1406402.6226257612,262,38,2,1.0,0.3117534788846312,0.05263157894736842,0.06078181185477323,0.059069790221802775,1.0,0.1,0.05263157894736842,1.0,False
10,8,max,0.05,projected_parent_area,fractional_membership,1857,52,93,38,1406402.6226257612,1406402.6226257612,262,38,38,1.0,1.0,1.0,0.8659100040176778,1.0,0.7759835936631705,1.0,1.0,1.0,False
10,8,p90,0.05,projected_parent_area,fractional_membership,1857,52,93,20,1406402.6226257612,1406402.6226257612,262,38,20,1.0,1.0,0.5263157894736842,0.6078181185477323,0.5539893915638854,0.9263443150200928,0.6896551724137931,0.5263157894736842,1.0,False
10,9,mean,0.05,projected_parent_area,fractional_membership,1857,296,93,14,1406402.6226257612,1406402.6226257612,262,139,14,1.0,0.5714285714285714,0.10071942446043165,0.16535930033360383,0.10156170869341483,1.0,0.1830065359477124,0.10071942446043165,1.0,False
10,9,max,0.05,projected_parent_area,fractional_membership,1857,296,93,139,1406402.6226257612,1406402.6226257612,262,139,139,1.0,1.0,1.0,0.6090944038662199,1.0,0.9435582586590747,1.0,1.0,1.0,False
10,9,p90,0.05,projected_parent_area,fractional_membership,1857,296,93,75,1406402.6226257612,1406402.6226257612,262,139,75,1.0,1.0,0.539568345323741,0.6339348488399343,0.5419687884370731,0.9908398064731935,0.7009345794392523,0.539568345323741,1.0,False
10,8,mean,0.1,projected_parent_area,fractional_membership,1857,52,186,4,2812805.2452515224,2812805.2452515224,262,38,4,1.0,0.30632479725770895,0.10526315789473684,0.11120543293718166,0.11815292553334165,1.0,0.1904761904761905,0.10526315789473684,1.0,False
10,8,max,0.1,projected_parent_area,fractional_membership,1857,52,186,38,2812805.2452515224,2812805.2452515224,262,38,38,1.0,1.0,1.0,0.9465648854961832,1.0,0.7759835936631705,1.0,1.0,1.0,False
10,8,p90,0.1,projected_parent_area,fractional_membership,1857,52,186,20,2812805.2452515224,2812805.2452515224,262,38,20,1.0,1.0,0.5263157894736842,0.5560271646859083,0.5539893915638854,0.9263443150200928,0.6896551724137931,0.5263157894736842,1.0,False
10,9,mean,0.1,projected_parent_area,fractional_membership,1857,296,186,30,2812805.2452515224,2812805.2452515224,262,139,30,1.0,0.42857142857142855,0.2158273381294964,0.24909678646130443,0.2176223153434065,1.0,0.35502958579881655,0.2158273381294964,1.0,False
