fine_res,coarse_res,aggregation,hotspot_budget,budget_match_mode,tie_method,n_fine,n_coarse,k_fine,k_coarse,fine_hotspot_area_m2,target_parent_area_m2,n_hotspot_fine,n_hotspot_fine_parents,n_hotspot_coarse,fine_hotspot_threshold,coarse_hotspot_threshold,jaccard,jaccard_soft,area_weighted_overlap,spearman_rank_corr,f1,fine_parent_recall,coarse_precision,matched_budgets_cell_count
10,9,max,0.1,projected_parent_area,fractional_membership,1857,296,186,139,2812805.2452515224,2812805.2452515224,262,139,139,1.0,1.0,1.0,0.8664396726893294,1.0,0.9435582586590747,1.0,1.0,1.0,False
10,9,p90,0.1,projected_parent_area,fractional_membership,1857,296,186,75,2812805.2452515224,2812805.2452515224,262,139,75,1.0,1.0,0.539568345323741,0.622741966153261,0.5419687884370731,0.9908398064731935,0.7009345794392523,0.539568345323741,1.0,False
10,8,mean,0.15,projected_parent_area,fractional_membership,1857,52,279,6,4219236.658574291,4219236.658574291,279,38,6,0.21353195769829883,0.28642494858724804,0.15789473684210525,0.15789473684210525,0.17182521279271307,1.0,0.2727272727272727,0.15789473684210525,1.0,False
10,8,max,0.15,projected_parent_area,fractional_membership,1857,52,279,38,4219236.658574291,4219236.658574291,279,38,38,0.21353195769829883,1.0,1.0,1.0,1.0,0.7759835936631705,1.0,1.0,1.0,False
10,8,p90,0.15,projected_parent_area,fractional_membership,1857,52,279,20,4219236.658574291,4219236.658574291,279,38,20,0.21353195769829883,1.0,0.5263157894736842,0.5263157894736842,0.5539893915638854,0.9263443150200928,0.6896551724137931,0.5263157894736842,1.0,False
10,9,mean,0.15,projected_parent_area,fractional_membership,1857,296,279,41,4219236.658574291,4219236.658574291,279,146,41,0.21353195769829883,0.30643333704359094,0.2808219178082192,0.2808219178082192,0.2782212261886203,1.0,0.4385026737967915,0.2808219178082192,1.0,False
10,9,max,0.15,projected_parent_area,fractional_membership,1857,296,279,139,4219236.658574291,4219236.658574291,279,146,139,0.21353195769829883,1.0,0.952054794520548,0.952054794520548,0.9554418566014526,0.9435582586590747,0.9754385964912281,0.952054794520548,1.0,False
10,9,p90,0.15,projected_parent_area,fractional_membership,1857,296,279,75,4219236.658574291,4219236.658574291,279,146,75,0.21353195769829883,1.0,0.5136986301369864,0.5136986301369864,0.5178196654443571,0.9908398064731935,0.6787330316742082,0.5136986301369864,1.0,False
10,8,mean,0.2,projected_parent_area,fractional_membership,1857,52,371,8,5610487.376969552,5610487.376969552,371,38,8,0.02422935643780217,0.2653061224489796,0.21052631578947367,0.21052631578947367,0.23089777501036676,1.0,0.34782608695652173,0.21052631578947367,1.0,False
10,8,max,0.2,projected_parent_area,fractional_membership,1857,52,371,38,5610487.376969552,5610487.376969552,371,38,38,0.02422935643780217,1.0,1.0,1.0,1.0,0.7759835936631705,1.0,1.0,1.0,False
10,8,p90,0.2,projected_parent_area,fractional_membership,1857,52,371,20,5610487.376969552,5610487.376969552,371,38,20,0.02422935643780217,1.0,0.5263157894736842,0.5263157894736842,0.5539893915638854,0.9263443150200928,0.6896551724137931,0.5263157894736842,1.0,False
10,9,mean,0.2,projected_parent_area,fractional_membership,1857,296,371,76,5610487.376969552,5610487.376969552,371,159,76,0.02422935643780217,0.2857142857142857,0.4779874213836478,0.4779874213836478,0.4777543873797078,1.0,0.6468085106382979,0.4779874213836478,1.0,False
10,9,max,0.2,projected_parent_area,fractional_membership,1857,296,371,139,5610487.376969552,5610487.376969552,371,159,139,0.02422935643780217,1.0,0.8742138364779874,0.8742138364779874,0.8764862282155197,0.9435582586590747,0.9328859060402684,0.8742138364779874,1.0,False
10,9,p90,0.2,projected_parent_area,fractional_membership,1857,296,371,75,5610487.376969552,5610487.376969552,371,159,75,0.02422935643780217,1.0,0.4716981132075472,0.4716981132075472,0.47502817918774515,0.9908398064731935,0.641025641025641,0.4716981132075472,1.0,False
