fold_id,n_train,n_test,n_test_blocks,n_positive_test,n_negative_test,test_block_ids,accuracy,f1,r2,mae,roc_auc,pr_auc
0,264,65,2,15,50,"870999386ffffff,8709993a3ffffff",0.8461538461538461,0.6666666666666666,0.4328823462321365,0.04279525948379329,0.8526666666666667,0.6173967163440847
1,264,65,3,11,54,"870999380ffffff,870999383ffffff,8709993b3ffffff",0.8615384615384616,0.64,0.6112237252614836,0.037514266889630554,0.92003367003367,0.5977961432506886
2,261,68,2,16,52,"870999385ffffff,8709993b1ffffff",0.8235294117647058,0.625,0.5455855232709279,0.041762533187741785,0.8617788461538461,0.601665029120981
3,260,69,2,21,48,"870999384ffffff,870999395ffffff",0.8405797101449275,0.7027027027027027,0.6441748728244515,0.03910907403289836,0.9280753968253967,0.8511757134313589
4,267,62,4,7,55,"870999381ffffff,870999382ffffff,870999391ffffff,8709993aeffffff",0.8064516129032258,0.4,0.5037123367820966,0.036770917383620004,0.9116883116883117,0.586734693877551
