n_cells,n_positive,prevalence,dep_area_frac_sum,n_dep_cells,roc_auc_pooled,roc_auc_mean,pr_auc_pooled,accuracy_mean,f1_mean,r2_mean,note,pilot,dep_variant
262,167,0.6374045801526718,2.9913945362582677,74,0.8479672234478411,0.8205489325647799,0.8545950410046028,0.8202154301488374,0.8575558607370872,0.19100916038984755,,lower_manhattan,current_sea_level
262,177,0.6755725190839694,4.367909821559699,98,0.8363243602525756,0.837357048525007,0.8590256205452478,0.8696377244656933,0.9057747236825765,0.21201949981108886,,lower_manhattan,2050_slr
956,458,0.4790794979079498,9.675254661167566,231,0.8821267603163748,0.8814112745250906,0.8227259317526048,0.8233542690788225,0.8257028376391744,0.3481267811423597,,manhattan_expanded,current_sea_level
956,478,0.5,12.121434465651408,268,0.8718247229565309,0.872968841773805,0.8187739829939578,0.8211890684854447,0.8311983046542843,0.34469354893453963,,manhattan_expanded,2050_slr
