pilot,k,block_resolution,n_blocks,n_folds,roc_auc_pooled,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,f1_mean,r2_mean,note
lower_manhattan,1,8,48,5,0.8409706901985503,0.8469379290110919,0.057514730378281,0.8320029027576197,0.09734170565846652,0.8659308425348126,0.3459290482863412,
lower_manhattan,2,7,12,5,0.8502678852820673,0.8342814926135574,0.08936730882197093,0.8240615839949912,0.05520659447974526,0.8613633699914501,0.16690455185854486,
lower_manhattan,3,6,4,4,0.7936968168925308,0.8329015469309174,0.059228265780606124,0.8497811070949368,0.08966518654578372,0.618995943995944,,
manhattan_expanded,1,8,157,5,0.8911610683844957,0.8931648706550067,0.026671427914413508,0.8210623909249563,0.03274711843965001,0.8306769782895003,0.381526172476617,
manhattan_expanded,2,7,28,5,0.8802077170840729,0.879657565438724,0.032428133027697245,0.8191492539231321,0.02364405303390376,0.822321839243153,0.3793155818871859,
manhattan_expanded,3,6,7,5,0.8720370735555119,0.8514248358937107,0.09128151598985554,0.7994050067772253,0.07097092945519728,0.780320724689372,0.3001943410597261,
