fold_id,n_train,n_test,n_test_blocks,n_positive_test,n_negative_test,test_block_ids,accuracy,f1,r2,mae,roc_auc,pr_auc
0,92,49,1,36,13,872a1072cffffff,0.7551020408163265,0.8421052631578947,-0.3683557130663917,0.40232681398631487,0.5876068376068376,0.7610706921744149
1,116,25,1,16,9,872a1072dffffff,0.84,0.8823529411764706,-0.02672226051680493,0.3647353789197085,0.8958333333333334,0.9346767906800801
2,119,22,1,13,9,872a10728ffffff,0.7727272727272727,0.8387096774193549,-0.04668595596764935,0.3668043100317451,0.7521367521367521,0.8326938584291523
3,120,21,2,16,5,"872a100d2ffffff,872a1072effffff",0.7142857142857143,0.7857142857142857,0.18959476779683238,0.3000537503765222,0.85,0.9277363006682859
4,117,24,2,17,7,"872a100d3ffffff,872a10721ffffff",0.9583333333333334,0.9696969696969697,0.6297968493522061,0.21132355268781047,1.0,1.0
