fold_id,n_train,n_test,n_test_blocks,n_positive_test,n_negative_test,test_block_ids,accuracy,f1,r2,mae,roc_auc,pr_auc
0,765,191,5,105,86,"872a100d2ffffff,872a100d3ffffff,872a100d8ffffff,872a10728ffffff,872a1072effffff",0.8324607329842932,0.8476190476190476,0.389854874813669,0.27352397003440826,0.9086378737541528,0.8956428711903925
1,765,191,5,96,95,"872a1008bffffff,872a1008dffffff,872a100d1ffffff,872a100d6ffffff,872a10724ffffff",0.8324607329842932,0.84,0.4723995294987846,0.2708939320726562,0.8976973684210527,0.8513363071191736
2,765,191,6,97,94,"872a10088ffffff,872a100dcffffff,872a100deffffff,872a10721ffffff,872a1072bffffff,872a1072cffffff",0.8272251308900523,0.8436018957345972,0.3394719530617083,0.29714736494545546,0.8547927177012503,0.8007261328489415
3,766,190,6,76,114,"872a10089ffffff,872a1008affffff,872a10099ffffff,872a100d0ffffff,872a100d5ffffff,872a10729ffffff",0.8315789473684211,0.8048780487804879,0.46665188227199306,0.2385703457926387,0.9087603878116344,0.8255374767041224
4,763,193,6,87,106,"872a100d4ffffff,872a100daffffff,872a100f2ffffff,872a10720ffffff,872a10725ffffff,872a1072dffffff",0.772020725388601,0.7755102040816326,0.22819966978977424,0.3139452736725022,0.8283994795055303,0.7248132360338513
