fold_id,n_train,n_test,n_test_blocks,n_positive_test,n_negative_test,test_block_ids,accuracy,f1,r2,mae,roc_auc,pr_auc
0,209,53,2,36,17,"872a1072cffffff,872a1072effffff",0.7547169811320755,0.8354430379746836,0.15153131249833496,0.31059035019838444,0.6879084967320261,0.7740460989490586
1,209,53,2,47,6,"872a100d0ffffff,872a100d2ffffff",0.9056603773584906,0.9484536082474226,-0.34720715398499635,0.307343752255652,0.723404255319149,0.9513628251717159
2,211,51,4,28,23,"872a100d6ffffff,872a100deffffff,872a10720ffffff,872a1072dffffff",0.7843137254901961,0.8070175438596491,0.4024234968681516,0.27047001158661654,0.8788819875776397,0.8985255575617794
3,209,53,2,25,28,"872a10721ffffff,872a10728ffffff",0.8679245283018868,0.8771929824561403,0.4425097295594924,0.23731547931411132,0.8985714285714286,0.8050568449342438
4,210,52,2,31,21,"872a100d3ffffff,872a10725ffffff",0.7884615384615384,0.819672131147541,0.3057884170082551,0.2677527367266554,0.913978494623656,0.9335524853718286
