layer,path,official_landing_page,exact_download_url_or_service_layer,item_owner,item_org,official_identity_verified,mirror_status,query,vintage,retrieved_utc,CRS,bbox,feature_count,size_bytes,sha256,license
dep_stormwater_flood,data\raw\nyc\dep_stormwater_flood.geojson,https://www.nyc.gov/content/climate/pages/initiatives/adaptnyc,https://services.arcgis.com/g8EzU2gNHvGpFUGY/ArcGIS/rest/services/New_York_City_Map_WFL1/FeatureServer/1,20221058@GT2022,,False,public_mirror,bbox clip; Flooding_Category 1-2,ArcGIS item modified 2023-02-22,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",2,24601038,175c7b31edeabab8a2cd6fb32d68b2faf59f02874ce7ffde6bd1b7e5632881b8,unverified_mirror; do not claim NYC ownership
dep_stormwater_flood_2050slr,data\raw\nyc\dep_stormwater_flood_2050slr.geojson,https://www.nyc.gov/content/climate/pages/initiatives/adaptnyc,https://services.arcgis.com/g8EzU2gNHvGpFUGY/ArcGIS/rest/services/New_York_City_Map_WFL1/FeatureServer/2,20221058@GT2022,,False,public_mirror,bbox clip; Flooding_Category 1-2; 2050 SLR,ArcGIS item modified 2023-02-22,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",2,27170031,f2943e366c15df66972b2be06070640ead3fcddeca304ca4c9314fd447940187,unverified_mirror; do not claim NYC ownership
flooding_311,data\raw\nyc\flooding_311.geojson,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2010-to-2019/76ig-c548,https://data.cityofnewyork.us/resource/76ig-c548.json,City of New York,NYC Open Data,True,official,descriptor = 'Street Flooding (SJ)' AND created_date >= '2010-01-01T00:00:00' AND created_date < '2015-01-01T00:00:00' AND latitude between '40.7' and '40.76' AND longitude between '-74.02' and '-73.97',76ig-c548 2010-2014 Street Flooding (SJ),2026-09-14T08:42:22.165339+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",510,218449,09ac97559606e04372dc681b6df929b0b87488c625d58a91f4cd7d33cbd6e8f3,NYC Open Data Terms of Use
usgs_ida_hwm,data\raw\nyc\usgs_ida_hwm.geojson,https://www.usgs.gov/data/high-water-marks-five-boroughs-new-york-city-flash-flooding-caused-remnants-hurricane-ida,https://doi.org/10.5066/P9OMBJPQ,USGS,U.S. Geological Survey,True,official,ScienceBase P9OMBJPQ GeoJSON extract,Hurricane Ida remnants 2021,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",159,43209,2ca3f65a7c9ba3655efa7236fe795acc04e374038945a196ab206240188517af,USGS public domain
dem,data\raw\nyc\dem.tif,https://www.usgs.gov/3d-elevation-program,USGS 3DEP ImageServer export,USGS,U.S. Geological Survey,True,official,ImageServer export EPSG:4326 for study bbox,3DEP mosaic at retrieval,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",,1312662,e9373f5cd91db56cece473a17ae87764887ffac2ccc69799077100bf1d1d0209,USGS public domain
building_footprints,data\raw\nyc\building_footprints.geojson,https://data.cityofnewyork.us/Housing-Development/Building-Footprints/nqwf-w8eh,https://services6.arcgis.com/yG5s3afENB5iO9fj/arcgis/rest/services/BUILDING_view/FeatureServer/0,maps.nyc.data,yG5s3afENB5iO9fj,True,official_nyc_maphub,bbox clip,MapHub BUILDING_view at retrieval,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",18767,17924283,47df709d639f2f93612ea7468f4d2959014c253e3506a46d5fa22214e7536808,NYC.gov Terms of Use
impervious,data\raw\nyc\impervious.tif,https://www.mrlc.gov/,Esri Annual NLCD Fractional Impervious ImageServer,Esri/MRLC,MRLC,True,official_service,ImageServer export scaled 0-1,Annual NLCD at retrieval,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",,791768,2c36e60e97f9c01dc368647bb9bc0b0453cbfc3c09441a1aac67b0c8ad62a9f9,NLCD / MRLC terms
hydro_streams,data\raw\nyc\hydro_streams.geojson,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,https://hydro.nationalmap.gov/arcgis/rest/services/NHDPlus_HR/MapServer,USGS,U.S. Geological Survey,True,official,flowlines+NHDArea+NHDWaterbody bbox clip,NHDPlus HR at retrieval,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",13,18614,56b4959e09383bccf9924043c706bd4efd10c6f04ed0385647efc90f37fb141a,USGS public domain
fema_sandy,data\raw\nyc\fema_sandy.geojson,https://data.cityofnewyork.us/,ArcGIS Online Sandy_Inundation_Zone (mirror),unverified,,False,public_mirror,bbox clip,Sandy inundation zone snapshot,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",9,5533235,fcb8380920c30d2faf83d40b8186c418b1087496a9d321987c61537f2362245f,unverified_mirror; negative control only
event_rainfall,data\raw\nyc\event_rainfall.tif,,,this_repository,,False,synthetic_constant_hook,uniform 75 mm/h over bbox,synthetic,2026-08-30T16:29:52.444742+00:00,EPSG:4326,"[-74.02, 40.7, -73.97, 40.76]",,6696,d0d0fa458443ad235e8ce7f76446cbb4379204242fb24f5ee9cf00bd93447cc3,synthetic; not gauge/radar
